title,link,author,journal,website,abstract,referenced
"Limits on the Curie temperature of (III, Mn) V ferromagnetic semiconductors",https://aip.scitation.org/doi/abs/10.1063/1.1355300,"J Schliemann, J König, HH Lin…","Applied Physics …, 2001",aip.scitation.org,"… Mean-field-theory predicts that the Curie temperature Tc of a … route toward room-temperature
ferromagnetism in this materials … theory, will limit the critical temperature in large density-of-…",101
Accelerated search for perovskite materials with higher Curie temperature based on the machine learning methods,https://www.sciencedirect.com/science/article/pii/S0927025618302726,"X Zhai, M Chen, W Lu","Computational Materials Science, 2018",Elsevier,"… In the properties of perovskite materials, Curie temperature (Tc), also called Curie point, is
the phase transition temperature of ferroelectrics from ferroelectric phase to paraelectric phase…",45
Simultaneously enhanced piezoelectricity and curie temperature in BiFeO3-based high temperature piezoelectrics,https://www.sciencedirect.com/science/article/pii/S0955221921005975,"J Wu, G Zhao, C Pan, P Tong, J Yang, X Zhu…","Journal of the European …, 2021",Elsevier,"… exhibiting both high ferroelectric Curie temperature T C (∼… temperature T d (∼551 C)
and relatively large d 33 ∼116 pC/N, superior to most of those of BiFeO 3 based high-temperature …",6
Remarkably improved Curie temperature for two-dimensional CrI3 by gas molecular adsorption: A DFT study,https://iopscience.iop.org/article/10.1088/1361-6641/ac01a2/meta,"Z Zheng, K Ren, Z Huang, Z Zhu, K Wang…","Semiconductor …, 2021",iopscience.iop.org,"… In particular, the N 2 adsorption can remarkably improve the Curie temperatures of the
pristine CrI 3 monolayer by about 2.6 times. We also hope that our findings can provide more …",18
"Comment on ''Size-dependent Curie temperature in nanoscale
particles''",https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.68.3113,VAM Brabers,"Physical Review Letters, 1992",APS,"… By annealing at lower temperatures, the equilibrium state of the cation distribution will be
restored (at 400'C about 5%) [6]. As pointed out by Lotgering [2] the Curie temperature of …",60
High-Curie Temperature Multilayered Hybrid Double Perovskite Photoferroelectrics Induced by Aromatic Cation Alloying,https://pubs.acs.org/doi/abs/10.1021/jacs.1c05108,"Y Yao, H Jiang, Y Peng, X Zhang, S Chen…","Journal of the …, 2021",ACS Publications,"… ferroelectrics have extremely low Curie temperature (T c below room temperature), which …
ferroelectrics, which extends the ferroelectric working temperature to a high level in this system…",21
Size effects on the Curie temperature of ferroelectric particles,https://www.sciencedirect.com/science/article/abs/pii/0038109894904901,"YG Wang, WL Zhong, PL Zhang","Solid state communications, 1994",Elsevier,"… The Curie temperature as a function of size is calculated. … distribution of P at different
temperature and particle size is calculated. … of temperature is calculated, thus the Curie …",71
Chemical-Pressure-Modulated BaTiO3 Thin Films with Large Spontaneous Polarization and High Curie Temperature,https://pubs.acs.org/doi/abs/10.1021/jacs.1c00605,"Y Wang, L Zhang, J Wang, Q Li, H Wang…","Journal of the …, 2021",ACS Publications,"… , it suffers from small spontaneous and low Curie temperature. Chemical pressure, as a mild
… , P r (100 μC/cm 2 ), to date and high Curie temperature, T c (above 1000 C). The negative …",16
"Negative exchange interactions and Curie temperatures for
sand
s",https://journals.aps.org/prb/abstract/10.1103/PhysRevB.55.3670,"ZW Li, AH Morrish","Physical Review B, 1997",APS,"… temperature dependence of the saturation … temperature range of 77 K to the Curie temperature
for Sm2Fe17 and Sm2Fe17Ny are reported and analyzed. The experimental temperature …",72
Piezoelectricity above the Curie temperature? Combining flexoelectricity and functional grading to enable high-temperature electromechanical coupling,https://aip.scitation.org/doi/abs/10.1063/1.4869478,"R Mbarki, N Baccam, K Dayal, P Sharma","Applied Physics Letters, 2014",aip.scitation.org,"… above the Curie temperature. This limits their use to relatively low temperatures. In this Letter…
, we propose a strategy for high-temperature electromechanical coupling in a standard thin …",46
Experimental exploration of dynamic phase transitions and associated metamagnetic fluctuations for materials with different Curie temperatures,https://journals.aps.org/pre/abstract/10.1103/PhysRevE.102.022804,"JMM Ramírez, E Oblak, P Riego, G Campillo, J Osorio…","Physical Review E, 2020",APS,"… The evolution of the Curie temperature as a function of the … to temperatures far higher than
our measured temperature … much closer to our samples’ Curie temperatures. We also need to …",19
Curie temperature suppression of ferromagnetic nanosolids,https://iopscience.iop.org/article/10.1088/0953-8984/14/23/101/meta,"WH Zhong, CQ Sun, BK Tay, S Li…","Journal of Physics …, 2002",iopscience.iop.org,"… In summary, a model of size and shape dependence of Curie temperature suppression for
ferromagnetic nanosolids has been developed based on the BBB correlation premise and the …",41
Low-Temperature Activation and Deactivation of High-Curie-Temperature Ferromagnetism in a New Diluted Magnetic Semiconductor:  Ni2+-Doped SnO2,https://pubs.acs.org/doi/abs/10.1021/ja054205p,"PI Archer, PV Radovanovic, SM Heald…","Journal of the …, 2005",ACS Publications,"We report the synthesis of colloidal Ni 2+ -doped SnO 2 (Ni 2+ :SnO 2 ) nanocrystals and
their characterization by electronic absorption, magnetic circular dichroism, X-ray absorption, …",135
Vanadium octacyanoniobate-based magnet with a Curie temperature of 138 K,https://pubs.acs.org/doi/abs/10.1021/ic9001576,"W Kosaka, K Imoto, Y Tsunobuchi…","Inorganic …, 2009",ACS Publications,"In this work, we prepared a three-dimensional vanadium octacyanoniobate-based magnet,
K 0.10 V II 0.54 V III 1.24 [Nb IV (CN) 8 ]·(SO 4 ) 0.45 ·6.8H 2 O. This compound exhibits …",55
"Electronic structure, magnetism and Curie temperatures in Fe, Co and Ni",https://www.sciencedirect.com/science/article/abs/pii/0304885384902932,"T Jarlborg, M Peter","Journal of magnetism and magnetic materials, 1984",Elsevier,"… , is important to obtain reasonable values of the Curie temperatures when derived in the
Stoner-… results, which we will use for a Stoner model and a derivation of the Curie temperature. …",73
A Molecular Ferromagnet with a Curie Temperature of 6.2 Kelvin: [Mn(C5(CH3)5)2]+[TCNQ]-,https://www.science.org/doi/abs/10.1126/science.249.4967.401,"WE Broderick, JA Thompson, EP Day, BM Hoffman","Science, 1990",science.org,"The study of magnetic phase transitions in insulating molecular solids provides new insights
into mechanisms of magnetic coupling in the solid state and into critical phenomena …",198
Pressure dependence of the Curie temperature in bcc iron studied by ab initio simulations,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.79.184406,"F Körmann, A Dick, T Hickel, J Neugebauer","Physical Review B, 2009",APS,"… The pressure dependence of the Curie temperature in bcc iron has been studied employing
… predict an essential independence of the Curie temperature of bcc iron on the external …",65
High electrostrain with high Curie temperature in BiFeO3-BaTiO3-based ceramics,https://www.sciencedirect.com/science/article/abs/pii/S1359646219300454,"L Wang, R Liang, Z Zhou, X Dong","Scripta Materialia, 2019",Elsevier,"… (0.45%) with a high Curie temperature (T C = 410 C) in lead-… , and the variation from room
temperature to 100 C was only 10… obtain high electrostrain in high temperature piezoceramics. …",47
"The intrinsic magnetism, quantum anomalous Hall effect and Curie temperature in 2D transition metal trihalides",https://pubs.rsc.org/en/content/articlehtml/2020/cp/c9cp05084a,"J Sun, X Zhong, W Cui, J Shi, J Hao, M Xu…","Physical Chemistry …, 2020",pubs.rsc.org,"… and antiferromagnets is the Curie temperature and Néel temperature. Using Monte Carlo
(… calculated the Curie temperature of VBr 3 , NiBr 3 and PdBr 3 and the Néel temperature of …",29
"First-principles study of exchange interactions and Curie temperatures of half-metallic ferrimagnetic full Heusler alloys Mn2V Z (Z= Al, Ge)",https://iopscience.iop.org/article/10.1088/0953-8984/17/6/017/meta,"E Şaşioglu, LM Sandratskii…","Journal of Physics …, 2005",iopscience.iop.org,"… Curie temperature calculated with the Mn–Mn exchange interaction being neglected. The
Curie temperature … In Mn2VAl, where the experimental estimation of the Curie temperature is …",113
Effects of Bi1/2Na1/2TiO3 on the Curie temperature and the PTC effects of BaTiO3-based positive temperature coefficient ceramics,https://www.sciencedirect.com/science/article/pii/S0924424706000562,"W Huo, Y Qu","Sensors and Actuators A: Physical, 2006",Elsevier,"… From the above formula, we can learn that improving the Curie temperature of the PTC …
of middle Curie point (between 120 and 200 C) were produced or that of high Curie point (…",91
"Exchange interactions and Curie temperatures of the tetrametal nitrides Cr4N, Mn4N, Fe4N, Co4N, and Ni4N",https://iopscience.iop.org/article/10.1088/0953-8984/28/5/056006/meta,M Meinert,"Journal of Physics: Condensed Matter, 2016",iopscience.iop.org,"… the Curie temperature to be close to room temperature and Co 4 N is expected to have the
highest Curie temperature … Surprisingly, the Curie temperature of Ni 4 N is very close to the …",57
Photoinduced magnetization with a high curie temperature and a large coercive field in a cyano-bridged cobalt− tungstate bimetallic assembly,https://pubs.acs.org/doi/abs/10.1021/ja060510e,"S Ohkoshi, S Ikeda, T Hozumi…","Journal of the …, 2006",ACS Publications,"… Irradiating with light causes the low-temperature phase to exhibit a spontaneous magnetization
with a Curie temperature of 40 K and a magnetic hysteresis loop with a coercive field of …",175
Enhanced Curie temperature in N-deficient GdN,https://aip.scitation.org/doi/abs/10.1063/1.3566996,"NOV Plank, F Natali, J Galipaud, JH Richter…","Applied Physics …, 2011",aip.scitation.org,"… Curie–Weiss response with paramagnetic T C of 70 K and a rapidly rising response below
that temperature… , and indeed we find an enhanced Curie temperature for the most nitrogen-…",47
Sensitivity of curie temperature to crystal-field anisotropy. I. Theory,https://journals.aps.org/pr/abstract/10.1103/PhysRev.156.534,ME Lines,"Physical Review, 1967",APS,"This paper discusses the statistical mechanics of ferromagnetic and antiferromagnetic systems
in the presence of uniaxial anisotropy, which is included both as anisotropic exchange D …",136
Is there an intrinsic limit to the charge-carrier-induced increase of the Curie temperature of EuO?,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.105.257206,"T Mairoser, A Schmehl, A Melville, T Heeg, L Canella…","Physical review …, 2010",APS,"… of a maximum of the Curie temperature for optimized … of a maximum of the Curie temperature
is associated with a … the carrier densities and Curie temperatures of Gd-doped EuO films …",73
Half-metallic ferromagnetism with high magnetic moment and high Curie temperature in,https://aip.scitation.org/doi/abs/10.1063/1.2167330,"S Wurmehl, GH Fecher, V Ksenofontov…","Journal of applied …, 2006",aip.scitation.org,"… of temperature is not observed here because the experiment was performed in a temperature
range close to the Curie temperature. A … -field theory only for temperatures far above T C . …",66
The characteristics of ferrite cores with low Curie temperature and their application,https://ieeexplore.ieee.org/abstract/document/1062934/,K Murakami,"IEEE Transactions on Magnetics, 1965",ieeexplore.ieee.org,"… Low Curie Temperature and … Curie temperature in the vicinity of the room temperature and
suddenly change the permeability vs. temperature characteristic near the Curie temperature is …",57
"Ab initio prediction of ferrimagnetism, exchange interactions and Curie temperatures in Mn2TiZ Heusler compounds",https://iopscience.iop.org/article/10.1088/0953-8984/23/3/036001/meta,"M Meinert, JM Schmalhorst…","Journal of Physics …, 2010",iopscience.iop.org,"… To estimate the accuracy of our method for the Curie temperature determination, we
calculated the Curie temperatures of some Heusler compounds at their respective experimental …",60
Effect of band filling and structural distortions on the Curie temperature of Fe-Mo double perovskites,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.68.012412,"C Frontera, D Rubi, J Navarro, JL García",Muñoz…,"Physical Review B, 2003","… to their Curie temperature (TC), well above room temperature.… it decreases as the temperature
approaches TC , so in order … been to enhance the Curie temperature of these compounds. …",90
"High-Curie-temperature ferromagnetism in bilayer
on bulk semiconducting substrates",https://journals.aps.org/prmaterials/abstract/10.1103/PhysRevMaterials.4.094003,"N Liu, S Zhou, J Zhao","Physical Review Materials, 2020",APS,"… substrates would effectively elevate the Curie temperature. Based on the calculated … Monte
Carlo simulations to estimate the Curie temperature of two representative systems, ie, bilayer …",21
Measurement of the Curie temperature distribution in FePt granular magnetic media,https://aip.scitation.org/doi/abs/10.1063/1.4873543,"S Pisana, S Jain, JW Reiner, GJ Parker…","Applied Physics …, 2014",aip.scitation.org,"… grains switch by reaching the Curie temperature rather than through … as representing the
Curie temperature distribution. The … temperature to the Curie temperature 13 13. R. Chantrell, M. …",45
"Geometric, electronic, and magnetic structure of
: Curie temperature and magnetic moment measurements and calculations",https://journals.aps.org/prb/abstract/10.1103/PhysRevB.72.184434,"S Wurmehl, GH Fecher, HC Kandpal, V Ksenofontov…","Physical Review B, 2005",APS,"… of the Curie temperature as … low temperature magnetometry. The measurements revealed
that it is, currently, the material with the highest magnetic moment (6B) and Curie temperature (…",578
Intrinsic ferromagnetism in 2D h-CrC semiconductors with strong magnetic anisotropy and high Curie temperatures,https://pubs.rsc.org/en/content/articlehtml/2021/tc/d1tc04389g,"K Sheng, HK Yuan, ZY Wang","Journal of Materials Chemistry C, 2021",pubs.rsc.org,"… To further check the reliability of our MC simulations for the prediction of Curie temperature,
… J and A values, with which the Curie temperature for the h-CrC monolayer is predicted to be …",6
Theoretical prediction of Curie temperature in two-dimensional ferromagnetic monolayer,https://aip.scitation.org/doi/abs/10.1063/5.0092142,"Y Xue, Z Shen, Z Wu, C Song","Journal of Applied Physics, 2022",aip.scitation.org,"… , “Ab initio calculations of the Curie temperature of complex permanent-… the Curie temperature
is not sensitive to it in light of energy. 31. P. Bruno, “Magnetization and Curie temperature …",3
Defect lead titanates with diverse curie temperatures,https://www.sciencedirect.com/science/article/abs/pii/0038109871900147,S Shirasaki,"Solid State Communications, 1971",Elsevier,"… Their Curie temperature varies between 295C and 435C,… A qualitative interpretation of
anamalous Curie temperatures is … Curie temperature defect lead titanates with various Curie …",52
Ab Initio Calculations of the Curie Temperature of Complex Permanent-Magnet Materials,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.79.155,"RF Sabiryanov, SS Jaswal","Physical review letters, 1997",APS,"The nitrogenation of rare-earth–transition-metal compounds (R 2 M 17) more than doubles
the Curie temperature (TC) of iron-rich compounds but lowers TC of cobalt-rich compounds. …",51
Enhancement of Curie temperature in Mn2RuSn by Co substitution,https://aip.scitation.org/doi/abs/10.1063/1.4918664,"A Nelson, P Kharel, Y Huh, R Fuglsby…","Journal of Applied …, 2015",aip.scitation.org,"… The magnetic structure in these samples is ferri-magnetic with the Curie temperature being
well above room temperature. There is a huge increase in the Curie temperature of Mn 2 …",17
Curie temperature engineering in high entropy alloys for magnetocaloric applications,https://ieeexplore.ieee.org/abstract/document/7515235/,"M Kurniawan, A Perrin, P Xu, V Keylin…","IEEE Magnetics …, 2016",ieeexplore.ieee.org,"… Lucas et al. measured high temperature MT and showed that Pd additions increase the Curie
temperature (Tc) of FeNiCoCr from below room temperature to 440 K for FeNiCoCrPd and …",45
Two-dimensional magnet at Curie temperature: Epitaxial layers of Co on Cu (100),https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.68.686,"D Kerkmann, D Pescia, R Allenspach","Physical review letters, 1992",APS,"… temperature that we are tempted to identify with the Curie temperature … (ii) We have
establishedthat it is correct to define a Curie temperature …",96
"Magnetisation, curie temperature and Y K angle studies of Cu substituted and non substituted Ni Zn mixed ferrites",https://www.sciencedirect.com/science/article/abs/pii/0038109888906588,"GK Joshi, AY Khot, SR Sawant","Solid state communications, 1988",Elsevier,"… The Curie temperatures have been evaluated by the technique described by Loria et al. The
… of Curie temperatures for both the systems. On addition of copper, the Curie temperatures …",84
The influence of shape and structure on the Curie temperature of Fe and Co nanoparticles,https://aip.scitation.org/doi/abs/10.1063/1.2167636,"R Evans, U Nowak, F Dorfbauer, T Shrefl…","Journal of Applied …, 2006",aip.scitation.org,"We have investigated the effect of lattice fluctuations on the magnetic properties of nanoparticles
of Fe and Co. Atomic structures were simulated using a molecular-dynamic approach, …",34
"Anomalous Curie temperature behavior of A-site Gd-doped
ceramics: The influence of strain",https://aip.scitation.org/doi/abs/10.1063/1.3563710,"L Ben, DC Sinclair","Applied Physics Letters, 2011",aip.scitation.org,"The influence of A-site Gd3+ doping on the c/a ratio, cell volume and Curie temperature (Tc)
of ferroelectric BaTiO3 according to the titanium vacancy mechanism, viz., Ba1−xGdxTi1−x/…",70
Anisotropic Curie temperature materials,https://onlinelibrary.wiley.com/doi/abs/10.1002/pssb.201248186,"JN Armstrong, SZ Hua, HD Chopra","physica status solidi (b), 2013",Wiley Online Library,"… spin cone and lowers the Curie temperature. It is to … temperature that is lower than the Curie
temperature along the easy axis, ie, ACT. In comparison, the anisotropy of Curie temperature …",14
The influence of breaking of exchange bonds on the curie temperature,https://link.springer.com/article/10.1134/1.1583793,"VI Nikolaev, AM Shipilin","Physics of the Solid State, 2003",Springer,"… In the case when the Curie temperature for a nanoparticle, as in our approximation, is pro…
Curie temperatures for ultrafine and large-sized particles can be expressed by a simple formula …",40
Realizing two-dimensional magnetic semiconductors with enhanced Curie temperature by antiaromatic ring based organometallic frameworks,https://pubs.acs.org/doi/abs/10.1021/jacs.8b11346,"X Li, J Yang","Journal of the American Chemical Society, 2018",ACS Publications,"… , which show Curie temperatures well above room temperature from classic Heisenberg …
ordering temperature (Curie temperature) is usually significantly lower than room temperature, …",62
… relationship between piezoelectricity and Curie temperature: simultaneous realization of large piezoelectricity and high Curie temperature in potassium sodium …,https://pubs.rsc.org/en/content/articlehtml/2020/tc/d0tc01888k,"J Ma, J Wu, B Wu, W Wu","Journal of Materials Chemistry C, 2020",pubs.rsc.org,"… properties and high Curie temperatures is urgently required. … low Curie temperatures. On
the other hand, the BNT-based and BF-based ceramics usually have high Curie temperatures …",8
Self‐regulating hyperthermia induced using thermosensitive ferromagnetic material with a low Curie temperature,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1349-7006.2008.00726.x,"H Saito, K Mitobe, A Ito, Y Sugawara…","Cancer …, 2008",Wiley Online Library,"… However, the correct control of temperature has been a difficult and complicated challenge.
… also have a Curie temperature (Tc) sufficient to provide automatic temperature control. The …",71
Computing Curie temperature of two-dimensional ferromagnets in the presence of exchange anisotropy,https://journals.aps.org/prresearch/abstract/10.1103/PhysRevResearch.3.043024,"S Tiwari, J Vanherck, ML Van de Put…","Physical Review …, 2021",APS,"… the Curie temperature of 2D FMs, which provides an estimate of the … the Curie temperature
2D magnets screened from the C2DB database and discover several high Curie temperature …",11
Pressure effect on the Curie temperature and thermal expansion of CrTe,https://iopscience.iop.org/article/10.1088/0953-8984/5/17/010/meta,"S Ohta, T Kanomata, T Kaneko…","Journal of Physics …, 1993",iopscience.iop.org,"… the NiAs-type crystal structure is a ferromagnet with a Curie temperature TC = 331-347 K [I], …
temperature T range between 15 and 800 K, the magnetic susceptibility x at temperatures …",46
Phase formation and characterization of high Curie temperature xBiYbO3–(1− x) PbTiO3 piezoelectric ceramics,https://www.sciencedirect.com/science/article/pii/S0955221908005232,"G Feng, H Rongzi, L Jiaji, L Zhen, C Lihong…","Journal of the European …, 2009",Elsevier,"… Novel bismuth ytterbium oxide-based ceramics have been investigated in this paper as a
high Curie temperature piezoelectric. Lead titanate was used in solution with BiYbO 3 to help …",65
Determining the Curie temperature of iron and nickel,https://aapt.scitation.org/doi/abs/10.1119/1.2768702,"S Velasco, FL Román","The Physics Teacher, 2007",aapt.scitation.org,"… This change makes it easy to identify the Curie temperature. … Curie temperatures, 770ºC
for iron and 358ºC for nickel. If the magnet is situated very close to the sphere, the temperature …",23
Structural characterization and Curie temperature determination of a sodium strontium niobate ferroelectric nanostructured powder,https://www.sciencedirect.com/science/article/pii/S0022459611000983,"S Lanfredi, DHM Gênova, IAO Brito, ARF Lima…","Journal of Solid State …, 2011",Elsevier,"… The Curie temperature and its correlation with the magnitude of the displacement of the …
The Curie temperature of the powder was derived using both the impedance and infrared …",83
Initial oxidation rate of nickel and effect of the Curie temperature,https://www.sciencedirect.com/science/article/pii/0001616059901166,"H Uhlig, J Pickett, J MacNairn","Acta Metallurgica, 1959",Elsevier,"… Curie temperature is explained by an observed work function of nickel slightly higher above
the Curie temperature … for oxidation above the Curie temperature than below. Calculations …",78
"Curie temperature of alloys, its measurement and technical importance",https://link.springer.com/article/10.1007/BF01913052,O Haglund,"Journal of thermal analysis, 1982",Springer,"… the change of Curie temperature. Thus it is not generally possible to use the Curie temperature
as a … , it is still possible to use the Curie temperature to characterize the composition of the …",22
Photoinduced Magnetization with a High Curie Temperature and a Large Coercive Field in a Co‐W Bimetallic Assembly,https://onlinelibrary.wiley.com/doi/abs/10.1002/adfm.201102727,"N Ozaki, H Tokoro, Y Hamada, A Namai…","Advanced Functional …, 2012",Wiley Online Library,"… Here, we report photoinduced magnetization with a high Curie temperature (T C ) of 48 K
and a gigantic coercive field (H c ) of 27 000 Oe in a Co-W bimetal assembly, [{Co II (4-…",75
On-the-fly interpretable machine learning for rapid discovery of two-dimensional ferromagnets with high Curie temperature,https://www.sciencedirect.com/science/article/pii/S2451929421005805,"S Lu, Q Zhou, Y Guo, J Wang","Chem, 2022",Elsevier,"… We have applied it to rapid screening of 2D FM materials with a high Curie temperature.
Successfully, over 700 potential FM materials with high Curie temperature are screened out …",10
Stoichiometric growth of high Curie temperature heavily alloyed GaMnAs,https://aip.scitation.org/doi/abs/10.1063/1.2927481,"S Mack, RC Myers, JT Heron, AC Gossard…","Applied Physics …, 2008",aip.scitation.org,"… are obtained via low-temperature molecular beam epitaxy by … ferromagnetism, the Curie
temperature of the stoichiometric … is needed to further increase the Curie temperature ( T C ) of …",77
Effect of curie temperature on ferroelectric tunnel FET and its RF/analog performance,https://ieeexplore.ieee.org/abstract/document/9239303/,"B Das, B Bhowmick","IEEE Transactions on Ultrasonics …, 2020",ieeexplore.ieee.org,"… In this article, the essential role of Curie temperature in designing Ferro-TFET for analog …
model for temperature variation from 200 to 700 K closely match. Curie temperature point for our …",14
"Electronic structure, exchange interactions, and Curie temperature in diluted III-V magnetic semiconductors:(GaCr) As,(GaMn) As,(GaFe) As",https://journals.aps.org/prb/abstract/10.1103/PhysRevB.67.214402,"LM Sandratskii, P Bruno","Physical Review B, 2003",APS,"We complete our earlier [Phys. Rev. B 66, 134435 (2002)] study of the electronic structure,
exchange interactions, and Curie temperature in (GaMn) As and extend the study to two other …",91
Lead-Free BiFeO3-BaTiO3 Ceramics with High Curie Temperature: Fine Compositional Tuning across the Phase Boundary for High Piezoelectric Charge and Strain …,https://pubs.acs.org/doi/abs/10.1021/acsami.0c20381,"B Xun, A Song, J Yu, Y Yin, JF Li…","ACS Applied Materials & …, 2021",ACS Publications,"… temperature piezoelectric ceramic that possesses both good electromechanical properties
and a Curie temperature … were investigated at room temperature. The results showed a …",45
The Diffusion of Carbon in Nickel Above and Below The Curie Temperature,https://search.proquest.com/openview/9619d7ccf2ff42f7d5b6e09bee1190df/1?pq-origsite=gscholar&cbl=18750&diss=y,S Diamond,1965,search.proquest.com,"… Cur le temperature to be about 2. 8 Kcal/mole lower than that belou the Curie temperature .
… observed increase in a cti vation energy belos the Curie temperatur e is due to ani ncrea se …",89
"Two-dimensional ferromagnetic semiconductors of rare-earth monolayer GdX2 (X= Cl, Br, I) with large perpendicular magnetic anisotropy and high Curie temperature",https://www.sciencedirect.com/science/article/pii/S2542529321001759,"W Liu, J Tong, L Deng, B Yang, G Xie, G Qin…","Materials Today …, 2021",Elsevier,"… The simulations were performed for 10 5 loops to reach the equilibrium state at each
temperature. The Curie temperature was gained from the peak point of the specific heat and the …",19
High Curie temperature ferromagnetism in penta-MnN2 monolayer,https://www.sciencedirect.com/science/article/pii/S0169433219334361,"K Zhao, Q Wang","Applied Surface Science, 2020",Elsevier,"… Two-dimensional (2D) intrinsic ferromagnetic materials with high Curie temperature have …
More interestingly, penta-MnN 2 displays a high Curie temperature T C of 913 K that can be …",20
Ferromagnetic carbon with enhanced Curie temperature,https://www.sciencedirect.com/science/article/pii/S0921452602021415,"VN Narozhnyi, KH Müller, D Eckert, A Teresiak…","Physica B: Condensed …, 2003",Elsevier,"… The existence of a ferromagnetic state with the very high Curie temperature T C ≈500 K for
… a material obtained by high-pressure high-temperature treatment of the fullerene C 60 . It has …",49
The role of demagnetization factor in determining the 'true'value of the Curie temperature,https://www.sciencedirect.com/science/article/pii/S0304885311002812,"VI Zverev, RR Gimaev, AM Tishin, Y Mudryk…","Journal of magnetism …, 2011",Elsevier,"… The Curie temperature, T C , is the temperature above which a material loses its long-range …
the perceived location of T C on the temperature scale. A series of precise measurements of …",33
"A multifunctional molecular ferroelectric with chiral features, a high Curie temperature, large spontaneous polarization and photoluminescence:(C 9 H 14 N) 2 …",https://pubs.rsc.org/en/content/articlehtml/2021/sc/d1sc03964d,"YK Li, YY Lai, TT Ying, DC Han, YH Tan, YZ Tang…","Chemical …, 2021",pubs.rsc.org,"… obvious dielectric and thermal anomalies and shows a high Curie temperature at 395 K. It
crystallizes in the P2 1 space group at room temperature, showing a strong CD signal, large …",19
"Investigation of
: The Heusler compound with highest Curie temperature and magnetic moment",https://aip.scitation.org/doi/abs/10.1063/1.2166205,"S Wurmehl, GH Fecher, HC Kandpal…","Applied physics …, 2006",aip.scitation.org,"… For room temperature devices, in particular, one needs to … B per unit cell and a Curie
temperature of above 980 K . 9. V. … Heusler compounds when plotting the Curie temperature ( T C ) …",440
A magnetic polaron model for the enhanced Curie temperature of EuO1− x,https://iopscience.iop.org/article/10.1088/0953-8984/25/12/125802/meta,"P Liu, J Tang","Journal of Physics: Condensed Matter, 2013",iopscience.iop.org,"… ferromagnetic semiconductor with a Curie temperature (T C ) … transition near the Curie
temperature and a colossal … Brillouin function of the magnetizations versus temperature curve (M–T…",30
"Raising the Curie temperature in
double perovskites by electron doping",https://journals.aps.org/prb/abstract/10.1103/PhysRevB.64.092411,"J Navarro, C Frontera, L Balcells, B Martinez…","Physical Review B, 2001",APS,"… coupling and, thus, the Curie temperature (TC) is controlled … magnetoresistance and their
Curie temperature is well above … Indeed, Curie temperatures about 400–430 K have been …",72
Electrically tunable high Curie temperature two-dimensional ferromagnetism in van der Waals layered crystals,https://aip.scitation.org/doi/abs/10.1063/5.0014865,"H Wang, J Qi, X Qian","Applied Physics Letters, 2020",aip.scitation.org,"… With this Hamiltonian, we calculate the Curie temperature … by fitting magnetization to the
Curie–Bloch equation, yielding the T … The calculated Curie temperatures are significantly higher …",54
Realization of high Curie temperature ferromagnetism in atomically thin MoS 2 and WS 2 nanosheets with uniform and flower-like morphology,https://pubs.rsc.org/en/content/articlehtml/2014/nr/c4nr06141a,"Z Yang, D Gao, J Zhang, Q Xu, S Shi, K Tao, D Xue","Nanoscale, 2015",pubs.rsc.org,"… High Curie temperature ferromagnetism has been realized in atomically thin MoS 2 and WS
… 2 and WS 2 samples at different temperatures, we deconstruct the magnetization into its …",106
"Two-dimensional intrinsic ferromagnets with high Curie temperatures: synthesis, physical properties and device applications",https://pubs.rsc.org/en/content/articlehtml/2021/xx/d1tc00415h,"Y Guo, S Zhou, J Zhao","Journal of Materials Chemistry C, 2021",pubs.rsc.org,"… However, the lack of room-temperature 2D ferromagnets has … Curie temperature (T C )
of 2D ferromagnets with regard to bulk materials, opening the door for designing high-temperature …",18
"Curie temperature of
nanocomposite films",https://journals.aps.org/prb/abstract/10.1103/PhysRevB.66.184425,"H Zeng, R Sabirianov, O Mryasov, ML Yan, K Cho…","Physical Review B, 2002",APS,"… We obtain the Curie temperature change as a function of interlayer exchange and … of Curie
temperatures for the c/a ratios observed experimentally. We estimate that Curie temperature …",68
Enhanced magnetic anisotropy and Curie temperature of the NiI 2 monolayer by applying strain: a first-principles study,https://pubs.rsc.org/en/content/articlehtml/2020/cp/d0cp03803b,"H Han, H Zheng, Q Wang, Y Yan","Physical Chemistry Chemical …, 2020",pubs.rsc.org,"Two-dimensional (2D) intrinsic ferromagnetic semiconductors with high magnetic anisotropy
(MA) and Curie temperature (TC) are desirable for low-dimensional spintronic applications. …",14
Monometallic lanthanoid assembly showing ferromagnetism with a Curie temperature of 11 K,https://pubs.acs.org/doi/abs/10.1021/ic900625a,"K Nakabayashi, S Ohkoshi","Inorganic chemistry, 2009",ACS Publications,"We prepared a three-dimensional monometallic lanthanoid assembly, Na 5 [Ho(THB 4− ) 2 ]·7H
2 O (THB = 1,2,4,5-tetrahydroxybenzene), that exhibits ferromagnetism with a Curie …",30
